NO,文案
1,"1,其实我挺想避风的，但是我没有港。

2,沉默不是没有情绪，而是没有再说的意义

3,为了避免结束，我避免了一切的开始

4,其实我心动了，但赶路要紧，我没有说

5,会想通，会看透，也会长记性

"
2,"1,我已经没兴趣给别人留好印象了

2,都在权衡，都怕扑空

3,爱会在不见面的日子里被新事物冲淡吧

4,长大是个很难过的词

5,距离不仅产生美，还有疏远和背离

"
3,"1,事不会压垮人，但是情绪会

2,突如其来的脾气往往积攒了很多的委屈

3,女孩子最爱说反话，男孩子却都当真了

4,其实你刷的从来都不是文案，而是自己的影子

5,如果第一选择不是我，那就永远别是我

"
4,"1,我宁愿把自己折磨死，也不希望你是别人的

2,时间在走，很多事情都在慢慢接受

3,所有的热情都会在等待和失望中消失

4,太敏感的人永远感受不到爱

5,好像什么都来得及，又好像什么都无能为力

"
5,"1,不顺路了吗，那祝你平安

2,故事都和朋友讲烂了，蕞终还是意难平

3,猝不及防的心动从一开始就覆水难收

4,我真的没有精力去描述我的不开心

5,不被重视的每一秒，我都在慢慢退后

"
6,"1,仙人掌做不了花，没办法让人捧在手心

2,保持快乐的秘诀：没必要，无所谓，不至于

3,该失望的事从来没辜负过我

4,人和人之间，没感情的时候才讲理

5,我不想成为任何人的一时之需

"
7,"1,你也故意晚回他的消息，你以为这样就扯平了吗？

2,可惜书里没有记载什么是爱

3,我们总以为清者自清，却忘了人言可畏

4,懂事就行了，你管我经历了什么

5,如果你也见到了这场雨，那就当我们见过面吧

"
8,"1,始终相信世界最稳固的关系是各取所需

2,要有勇气成为他人的过去

3,我不仅没有爱，我还质疑所有爱

4,可惜生活不是电影，没人等你三五年

5,主动是我对热爱东西表达的极限

"
9,"1,我总是碰到没有结果的人和事

2,心动才是这场错误的开始

3,你一定不懂那种看清了，还想继续喜欢的感觉

4,什么都会结束，就是烦恼没完没了

5,压抑情绪这件事，越来越顺手了

"
10,"1,取消了置顶之后，才发现你排在了最后

2,开心就好，不用在意我的感受，我没感受

3,你总是道听途说，你怎么不直接问我

4,见一面都很难的人，居然还想着有以后

5,每一个决定转身的人，都在风里站了很久

"
11,"1,在爱时说的话，只在爱时作数

2,怕什么来什么，盼什么没什么

3,去吹吹风吧，能醒的话，感冒也没关系

4,这个世界从不缺让人心动的新鲜感

5,后来你知道治愈你的不是时间，而是明白

"
