排名,地市,区县,GDP
1,青岛市,黄岛区,5003.38
2,济南市,历下区,1910.4
3,青岛市,即墨区,1278.4
4,青岛市,市南区,1272.32
5,青岛市,胶州市,1225.86
6,青岛市,城阳区,1209.63
7,临沂市,兰山区,1187.88
8,烟台市,龙口市,1094
9,济南市,市中区,1059
10,济南市,历城区,1020
11,济南市,章丘区,1002.46
12,烟台市,芝罘区,984.82
13,青岛市,市北区,962.18
14,威海市,荣成市,943.2
15,青岛市,崂山区,886.42
16,济宁市,邹城市,824.12
17,潍坊市,寿光市,786.6
18,枣庄市,滕州市,753
19,淄博市,临淄区,733.3
20,泰安市,肥城市,721.5
21,青岛市,平度市,712
22,烟台市,招远市,697.56
23,淄博市,张店区,693
24,烟台市,莱州市,674.1
25,潍坊市,诸城市,653
26,济南市,莱芜区,641.61
27,东营市,东营区,635
28,济南市,槐荫区,624.3
29,东营市,广饶县,621
30,淄博市,桓台县,588.5
31,潍坊市,青州市,565
32,济南市,天桥区,564
33,滨州市,邹平市,558.8
34,威海市,文登区,556.62
35,青岛市,莱西市,551.87
36,青岛市,李沧区,545.88
37,济宁市,任城区,542.16
38,济宁市,兖州区,525.72
39,泰安市,新泰市,522.1
40,日照市,东港区,519.61
41,日照市,岚山区,511.69
42,潍坊市,高密市,510.25
43,泰安市,泰山区,473.7
44,聊城市,东昌府区,470.68
45,滨州市,滨城区,467.82
46,菏泽市,曹县,463.8
47,淄博市,淄川区,461.1
48,潍坊市,昌邑市,450.4
49,临沂市,沂水县,444.14
50,烟台市,莱阳市,444
51,菏泽市,郓城县,436.5
52,烟台市,海阳市,435
53,菏泽市,东明县,422
54,临沂市,费县,408
55,济宁市,微山县,388.84
56,威海市,环翠区,386.85
57,日照市,莒县,385.74
58,烟台市,莱山区,381
59,滨州市,博兴县,380
60,临沂市,罗庄区,372.22
61,菏泽市,牡丹区,371.8
62,烟台市,蓬莱区,370.36
63,济宁市,曲阜市,365.38
64,烟台市,福山区,362.02
65,菏泽市,巨野县,349.35
66,德州市,齐河县,345.52
67,菏泽市,单县,344.8
68,泰安市,岱岳区,340
69,济南市,长清区,339
70,潍坊市,昌乐县,330.3
71,潍坊市,安丘市,329.83
72,烟台市,牟平区,324
73,潍坊市,临朐县,321.8
74,临沂市,郯城县,320.94
75,潍坊市,潍城区,307.64
76,聊城市,茌平区,306
77,临沂市,河东区,303.62
78,潍坊市,奎文区,303.27
79,济南市,钢城区,300
80,烟台市,栖霞市,297.48
81,临沂市,莒南县,296.58
82,德州市,德城区,290.12
83,临沂市,兰陵县,280.49
84,威海市,乳山市,280.41
85,聊城市,阳谷县,279
86,德州市,临邑县,276.87
87,枣庄市,市中区,270
88,淄博市,沂源县,269.78
89,东营市,垦利区,267.49
90,菏泽市,鄄城县,252
91,泰安市,宁阳县,251.75
92,枣庄市,薛城区,251
93,德州市,禹城市,247.61
94,德州市,乐陵市,245.95
95,临沂市,平邑县,244.85
96,济宁市,梁山县,240.55
97,德州市,宁津县,240.29
98,东营市,利津县,239.99
99,德州市,平原县,238.39
100,聊城市,临清市,238.21
101,滨州市,无棣县,237.91
102,淄博市,博山区,234
103,济南市,平阴县,233.3
104,临沂市,沂南县,232.92
105,德州市,陵城区,232.02
106,潍坊市,寒亭区,228
107,济宁市,汶上县,225.55
108,聊城市,莘县,224.04
109,滨州市,阳信县,223.39
110,济宁市,嘉祥县,220.18
111,济宁市,金乡县,218.71
112,泰安市,东平县,216.88
113,淄博市,周村区,215.39
114,聊城市,冠县,214.71
115,菏泽市,定陶区,213.26
116,济南市,济阳区,205.46
117,临沂市,临沭县,204.84
118,德州市,夏津县,198.76
119,滨州市,惠民县,197.35
120,日照市,五莲县,197.26
121,东营市,河口区,190.53
122,济宁市,鱼台县,186.53
123,济宁市,泗水县,185.73
124,淄博市,高青县,181.51
125,德州市,武城县,180.14
126,潍坊市,坊子区,180
127,临沂市,蒙阴县,175.39
128,济南市,商河县,175
129,德州市,庆云县,165.51
130,滨州市,沾化区,162.62
131,菏泽市,成武县,155.38
132,聊城市,高唐县,151.24
133,枣庄市,峄城区,150
134,聊城市,东阿县,147
135,枣庄市,山亭区,119.82
136,枣庄市,台儿庄区,119.39
